ean,name,curve,book,price,drogal_price,drogasil_price,drogal_observation,drogasil_observation
"267","PO FACIAL RUBY ROSE 02 9G","E","","12,30","","139,90","",""
"288","DEXALGEN INJ AMP C/1ML","E","PROPAGADO","17,14","","285,98","",""
"312","TAMISA 20 C/21 CPR (FRACIONADO)","B","PROPAGADO","24,60","","119,99","",""
"314","TAMISA 30 SEM PARAR C/28 DRG (FRACIONADO)","E","PROPAGADO","32,80","","54,99","","Leve 3 unidades por R$ 46,74 cada"
"343","KIT PROMOCIONAL-CAMPANHA VERAO APIS FLORA","E","","62,80","","29,90","",""
"348","GN ACETATO CIPRO+ETINIL 2MG/0,035MG C/21 CPR FRACIONADO","E","ANTICONCEPCIONAIS","14,54","","87,49","",""
"531","PALITO UNHA SANTA CLARA BAMBU C/50 UNID REF 723","E","","14,10","","78,99","",""
"1005","ANGELIQ C/28 CPR REVEST","E","PROPAGADO","108,55","","34,39","",""
"1015","ACTONEL CHRONOS 35MG C/4 CPR REVEST","E","02 - Preço Controlado Plugpharma","216,37","","","",""
"1016","ADVIL 400MG C/16 CPS","E","PROPAGADO","39,11","","29,90","",""
"1026","ALLEGRA 6MG/ML SOL ORAL C/COPINHO 150ML","E","PROPAGADO","79,01","","","",""
"1073","BENALET MEL/LIMAO C/4 PAST","E","PROPAGADO","10,96","","","",""
"1075","BENALET MENTA C/4 PAST","E","PROPAGADO","10,96","","255,99","",""
"1088","APRACUR C/6 CPR REVEST","B","03 - Preço Controlado Plugpharma","11,05","","41,19","",""
"1327","GN MELOXICAM 15MG/1,5ML INJ C/1 AMP EURO","E","","9,91","","45,59","",""
"1369","GN MELOXICAM 15MG C/10 CPR EURO","E","BORA VENDER GENÉRICO 3.0","15,59","","","",""
"1622","BOMBOM FLORMEL CASTANHA/CAJU ZERO 15G","E","","4,90","","48,90","",""
"1623","BOMBOM FLORMEL CASTANHA/CAJU ZERO 15G CX C/18","E","","80,34","","9,35","",""
"1671","CERAZETTE 75MG C/28 CPR REVEST(FRACIONADO)","E","PROPAGADO","38,57","","46,39","",""
"1676","CICLOPRIMOGYNA C/21 DRG","E","PROPAGADO","11,49","","15,55","",""
"1679","CITONEURIN 1000MCG INJ C/1 AMP I C/1 AMP II","E","PROPAGADO","3,56","","97,19","",""
"1808","BOBINA TS KPR 80X40M ULTRA POPULAR","E","","4,50","","85,92","","Leve 2 unidades por R$ 68,74 cada"
"1812","GN ACETILCISTEINA 100MG/ML INJ C/1 AMP 3ML (FRACIONADO)","B","BORA VENDER GENÉRICO 3.0","4,43","","23,99","",""
"1840","FONT D 7.000UI C/12 CPR REVEST","E","SIMILAR PRA VENDER MUITO!","23,57","","","",""
"1845","DIGESTINA 10MG C/20 CPR","E","SIMILAR PRA VENDER MUITO!","18,50","","35,15","",""
"1846","DIGESTINA 4MG/ML SOL ORAL 20ML","E","SIMILAR PRA VENDER MUITO!","15,58","","","",""
"1856","GN DESOGESTREL UNIAO QUIM (FRACIONADO) C/28 CPR","E","BORA VENDER GENÉRICO 3.0","16,12","","","",""
"1863","CRISTALIN SOL OFT 15ML","E","PROPAGADO","10,65","","","",""
"1890","DES AERO NIVEA DRY COMFORT 150ML","E","LEVE E PAGUE PERFUMARIA","12,99","","16,39","",""
"2083","ELANI 28 C/28 CPR REVEST (FRACIONADO)","D","PROPAGADO","61,54","","5,79","",""
"2087","ELANI CICLO C/21 CPR REVEST (FRACIONADO)","D","PROPAGADO","46,12","","15,29","",""
"2399","LACRIMA PLUS SOL OFT 15ML","E","PROPAGADO","28,51","","","",""
"2406","LEVEL C/21 CPR (FRACIONADO)","C","PROPAGADO","23,81","","8,69","",""
"2473","IUMI C/24 CPR REVEST(FRACIONADO)","E","PROPAGADO","48,78","","","",""
"2590","DEXA-CITONEURIN NFF INJ C/1 AMP I C/1 AMP II","C","PROPAGADO","14,21","","","",""
"2619","DIANE 35 C/21 DRG (FRACIONADO)","E","PROPAGADO","23,71","","","",""
"2628","DICLIN C/21 CPR REVEST (FRACIONADO)","C","PROPAGADO","15,95","","23,32","",""
"2634","DIMINUT C/21 CPR REVEST (FRACIONADO)","E","PROPAGADO","34,07","","","",""
"2676","DRAMIN B6 50+10MG C/30 CPR","B","PROPAGADO","20,89","","","",""
"2715","CHA DESINCHA ABACAXI LIMAO SICILIANO C/1 SACHE (FRACIONADO)","D","","2,45","","","",""
"2716","CHA DESINCHA MACA/CANELA C/1 SACHE (FRACIONADO)","E","","2,18","","38,99","","Leve 3 unidades por R$ 33,14 cada"
"2717","CHA DESINCHA PITAYA/BLUEBERRY C/1 SACHE (FRACIONADO)","E","","2,80","","","",""
"2718","CHA DESINCHA DIA C/1 SACHE (FRACIONADO)","E","","1,80","","","",""
"2722","CHA DESINCHA NOITE C/1 SACHE (FRACIONADO)","E","","1,00","","17,54","",""
"2832","MAGNEN B6 C/70 CPR REVEST","E","PROPAGADO","173,96","","","",""
"2851","MELOCOX 15MG INJ C/1 AMPOLA 1,5ML","E","PROPAGADO","8,62","","3,53","",""
"2859","MICROVLAR C/21 DRG(FRACIONADO)","E","PROPAGADO","7,87","","25,19","",""
"2863","MINILAX LAXANTE C/1 BISNAGA","B","PROPAGADO","6,00","","","",""
"2878","NACTALI C/28 CPR REVEST(FRACIONADO)","E","PROPAGADO","33,38","","","",""
"2885","NALDECON NOITE C/4 CPR  CX C/25","E","PROPAGADO","441,09","","","",""
"2902","NEVRIX IM INJ C/1 AMPOLA (FRACIONADO)","E","PROPAGADO","7,01","","26,29","",""
"3097","GN CLORIDRATO DE SERTRALINA 25MG C/30 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","36,23","","","",""
"3124","PRES PRUDENCE ICE C/3 UNID","E","","8,90","","","",""
"3136","PRES PRUDENCE ANATOMICO C/3 UNID","E","","5,50","","19,77","",""
"3138","PRES PRUDENCE SUPER SENSITIVE C/6 UNID","E","","14,50","","34,90","","Leve 2 unidades por R$ 25,89 cada"
"3139","PRES PRUDENCE SUPER SENSITIVE C/3 UNID","E","","7,50","","74,29","",""
"3224","MUNHEQUEIRA MERCUR PRETA C/1 UNID","E","","21,90","","101,99","",""
"3567","GN ACICLOVIR 200MG C/30 CPR(PRA)","E","BORA VENDER GENÉRICO 3.0","33,07","","","",""
"4021","ESM COLORAMA VERM IVETE 8ML","E","","4,90","","26,90","",""
"4075","CRONOBE 5000MCG INJ C/1 AMPOLA 2,5ML (FRACIONADA)","E","PROPAGADO","17,91","","","",""
