ean,name,drogal_price,drogasil_price,drogal_observation,drogasil_observation
"78905108","Minancora Pomada com 30g","","19,81","",""
"20800750158","Metamucil Sabor Laranja Sem Açúcar 174g","","96,99","",""
"20800750165","Metamucil Sabor Laranja com 10 sachês de 5,85g cada","","53,79","",""
"736532110374","Micofenolato de Mofetila 500mg Frasco 50 comprimidos","","650,03","",""
"3400970002146","Flebodia 600mg 30 Comprimidos","124,90","146,49","Leve 3 e pague R$83,26 cada","Leve 3 unidades por R$ 107,14 cada"
"3499320010788","Soolantra 10mg/g Creme 30g","130,99","128,49","",""
"3499320015684","Epiduo 0,3% Gel Dermatológico 45g","157,60","206,21","",""
"4030729003507","Neupro Rotigotina 2mg 7 adesivos transdérmicos","","52,60","",""
"4030729003521","Neupro 4mg 28 Adesivos Transdérmicos","399,79","","",""
"4030729003545","Neupro 135mg envelope com 28 adesivos (6mg/24h)","527,49","518,87","",""
"4030729003569","Neupro 180mg envelope com 28 adesivos (8mg/24h)","737,89","697,30","",""
"4030729003767","Vimpat 50mg 14 Comprimidos Revestidos","68,37","63,01","",""
"4260747720722","Losec 10mg com 28 comprimidos revestidos","255,79","257,98","",""
"4260747720739","Losec Mups 20mg caixa com 14 comprimidos revestidos","190,68","219,00","",""
"4260747720746","Losec Mups 10mg caixa com 14 comprimidos revestidos","128,19","132,49","",""
"4260747720753","Losec 20mg com 28 comprimidos revestidos","380,15","439,01","",""
"4987188501115","Adesivo Gel-Patch Salonpas Tamanho 14cmx10cm 3 Unidades","14,19","17,39","",""
"4987188521113","Emplastro Salonpas Pain Relief Patch 5 Adesivos","30,49","33,25","",""
"5000456025461","Qtern 5mg/10mg 30 Comprimidos Revestidos","207,15","","",""
"5000456028370","XigDuo XR 5mg/1000mg 60 Comprimidos Revestidos de Liberação Prolongada","194,97","216,86","",""
"5000456028387","XigDuo XR 10mg/1000mg 30 Comprimidos Revestidos de Liberação Prolongada","195,62","216,85","",""
"5000456028400","XigDuo XR 10mg/500mg 14 Comprimidos Revestidos de Libaração Prolongada","109,49","","",""
"5000456028486","Onglyza 5mg 28 Comprimidos Revestidos","134,79","139,99","",""
"5000456028493","Onglyza 2,5mg 28 Comprimidos Revestidos","136,69","143,49","",""
"5000456029001","Lokelma 5g Pó para Suspensão Oral 30 Sachês","1868,53","2120,88","",""
"5000456031387","Lokelma 5g Pó para Suspensão Oral 3 Sachês","196,49","203,99","",""
