ean,name,curve,book,price,drogal_price,drogasil_price,drogal_observation,drogasil_observation,subsidiary_one_stock,subsidiary_two_stock
"7896512907493","SH GRANADO BEBE TRADICIONAL 250ML","E","","16,90","18,55","","","","2","3"
"7896226506463","PROLOPA DR 200+50MG C/30 CPR","D","03 - Preço Controlado Plugpharma","105,83","95,69","","","","1","3"
"7500435150309","CR DENTAL ORAL B EXTRA FRESH 70G","D","","4,49","3,39","","","","0","0"
"4006000039077","GEL LIMP FACIAL EUCERIN DERMO PURE OIL CONTROL 150G","E","DERMOCOSMETICOS","76,32","57,99","","","","0","0"
"7899706139212","PIGMENTCLAR SERUM 20ML","E","DERMOCOSMETICOS","154,08","228,89","","","","0","0"
"7500435185011","FEMIBION 1 C/28 CPR","E","LEITE","90,26","86,41","","","","3","1"
"7896714290546","BLUGRIP PELARGONIUM GTS 20ML","E","02 - Preço Controlado Plugpharma","50,58","50,39","","","","0","2"
"7896226110370","MAGNEN B6 C/30 CPR REVEST","D","PROPAGADO","98,78","110,25","","","","1","0"
"7896004781310","GN CLORIDRATO DE DONEPEZILA+CLOR DE MEMANTINA 10+20MG C/30","E","BORA VENDER GENÉRICO 3.0","110,08","84,83","","","","0","0"
"7891182016261","TIN KOLESTON BORGONHA COR 46","E","","19,90","23,95","","","","2","0"
"7891158104688","PEDIALYTE MAX MORANGO 500ML","E","PROPAGADO","18,65","29,45","","","","0","0"
"4005900995544","HIDRAT LABIAL NIVEA ULTRA HIALURONICO 5,2G","E","","29,90","30,09","","","","3","2"
"7891317015060","KOIDE D 2+0,25+5MG XPE 120ML","E","PROPAGADO","40,98","39,74","","","","2","4"
"7896094206038","TARFIC 0,1% POM 10G","E","PROPAGADO","82,28","87,09","","","","1","1"
"7899852021539","ILUMI VULT FUN DOURADO RADIANTE 6,5G","E","","25,50","29,59","","","","2","2"
"7891317010355","GN FUROATO DE MOMETASONA 50MCG C/60 ACIONAMENTOS EURO","E","03 - Preço Controlado Plugpharma","31,35","29,09","","","","2","1"
"7896004737225","GN ORLISTATE 120MG C/84 CAPS (EMS)","E","02 - Preço Controlado Plugpharma","253,38","121,09","","","","2","3"
"7898040328566","IMECAP FACE ACIDO HIALURONICO VERISOL C/30 SACHE","E","","70,64","80,69","","","","2","1"
