Cód. Barras/Etiq.,Embalagem,Curva ABC Qtd.,Caderno de Ofertas,Custo Médio Unit.,Preço Venda Unit.,Preço Oferta Unit.
00000078937765,FANTA GUARANA PET 200ML ,E,,"1,33","2,50","2,50"
0000042428831,CR MAOS NIVEA LUMINOUS FPS15 50G,E,,"27,28","44,90","44,90"
0000075062835,DES DOVE ORIGINAL STICK 45G,D,,"16,49","24,50","24,50"
0000075076696,DES DOVE MEN CARE STICK PROTECCION TOTAL 72H 45G,D,,"14,71","25,50","25,50"
0000075076696,DES DOVE MEN CARE STICK PROTECCION TOTAL 72H 45G,E,,"16,48","25,50","25,50"
0000075076818,DES CR REXONA FEM CLINICAL 3X CLASSIC 48G,E,,"16,72","23,90","23,90"
0000078905108,MINANCORA POM 30G,B,PROPAGADO ,"14,21","18,25","15,82"
0000078915640,ESPARADRAPO NEXCARE IMPER BRANCO 25MMX90CM,E,,"3,05","5,95","5,95"
000267,PO FACIAL RUBY ROSE 02 9G,E,,"8,65","12,30","12,30"
000288,DEXALGEN INJ AMP C/1ML,E,PROPAGADO ,"13,23","21,15","17,14"
000312,TAMISA 20 C/21 CPR (FRACIONADO),B,PROPAGADO ,"22,12","30,37","24,60"
000314,TAMISA 30 SEM PARAR C/28 DRG (FRACIONADO),B,PROPAGADO ,"29,47","40,49","32,80"
000314,TAMISA 30 SEM PARAR C/28 DRG (FRACIONADO),E,PROPAGADO ,"29,02","40,49","32,80"
000343,KIT PROMOCIONAL-CAMPANHA VERAO APIS FLORA,E,,"8,49","62,80","62,80"
000348,"GN ACETATO CIPRO+ETINIL 2MG/0,035MG C/21 CPR FRACIONADO",B,ANTICONCEPCIONAIS ,"5,90","17,72","14,54"
000348,"GN ACETATO CIPRO+ETINIL 2MG/0,035MG C/21 CPR FRACIONADO",E,ANTICONCEPCIONAIS ,"15,48","17,72","14,54"
00041333017631,PILHA DURACELL AA2 C/2 UNID       CX C/6,E,,"46,15","415,38","415,38"
000531,PALITO UNHA SANTA CLARA BAMBU C/50 UNID REF 723,E,,"4,81","14,10","14,10"
00070847022015,ENERGETICO MONSTER ENERGY LATA 473ML,B,,"7,74","11,50","11,50"
00070847022022,ENERGETICO MONSTER ENERGY JUICE LATA 473ML ,E,,"7,05","10,90","10,90"
00070847022206,ENERGETICO MONSTER ENERGY ULTRA 473ML,B,,"7,75","11,50","11,50"
00070847022206,ENERGETICO MONSTER ENERGY ULTRA 473ML,C,,"7,69","11,50","11,50"
00070847022305,ENERGETICO MONSTER ENERGY ABSOLUTELY ZERO LATA 473ML,D,,"7,69","9,90","9,90"
00070847022305,ENERGETICO MONSTER ENERGY ABSOLUTELY ZERO LATA 473ML,E,,"6,56","9,90","9,90"
00070847033929,ENERGETICO MONSTER ENERGY ULTRA VIOLET LATA 473ML,C,,"7,69","11,50","11,50"
00070847033929,ENERGETICO MONSTER ENERGY ULTRA VIOLET LATA 473ML,D,,"7,69","11,50","11,50"
001005,ANGELIQ C/28 CPR REVEST,E,PROPAGADO ,"78,93","134,01","108,55"
001015,ACTONEL CHRONOS 35MG C/4 CPR REVEST ,E,02 - Preço Controlado Plugpharma,"183,53","261,79","216,37"
001016,ADVIL 400MG C/16 CPS,E,PROPAGADO ,"30,91","45,13","39,11"
001026,ALLEGRA 6MG/ML SOL ORAL C/COPINHO 150ML,E,PROPAGADO ,"59,21","90,42","79,01"
001073,BENALET MEL/LIMAO C/4 PAST ,E,01 - Preço Controlado Plugpharma,"0,00","13,53","13,51"
001073,BENALET MEL/LIMAO C/4 PAST ,E,02 - Preço Controlado Plugpharma,"10,33","13,53","13,51"
001073,BENALET MEL/LIMAO C/4 PAST ,E,PROPAGADO ,"0,00","13,53","10,96"
001075,BENALET MENTA C/4 PAST ,E,01 - Preço Controlado Plugpharma,"0,00","13,53","13,51"
001075,BENALET MENTA C/4 PAST ,E,02 - Preço Controlado Plugpharma,"9,92","13,53","13,51"
001075,BENALET MENTA C/4 PAST ,E,PROPAGADO ,"0,00","13,53","10,96"
001088,APRACUR C/6 CPR REVEST,B,01 - Preço Controlado Plugpharma,"8,85","12,19","11,05"
001088,APRACUR C/6 CPR REVEST,B,02 - Preço Controlado Plugpharma,"8,42","12,19","11,05"
001088,APRACUR C/6 CPR REVEST,B,03 - Preço Controlado Plugpharma,"9,00","12,19","11,05"
0011509031303,GEL BARBA GRECIN 5 E BIGODE CASTANHO CLARO,E,,"32,07","47,90","47,90"
0011509031310,GEL BARBA GRECIN 5 E BIGODE 5 CASTANHO,E,,"32,07","47,90","47,90"
0011509031327,GEL BARBA GRECIN 5 E BIGODE CASTANHO ESCURO,E,,"47,34","66,90","66,90"
0011509031334,GEL BARBA GRECIN 5 E BIGODE PRETO,E,,"45,31","63,90","63,90"
001327,"GN MELOXICAM 15MG/1,5ML INJ C/1 AMP EURO",C,,"4,74","9,91","9,91"
001327,"GN MELOXICAM 15MG/1,5ML INJ C/1 AMP EURO",D,,"4,75","9,91","9,91"
001327,"GN MELOXICAM 15MG/1,5ML INJ C/1 AMP EURO",E,,"4,81","9,91","9,91"
001369,GN MELOXICAM 15MG C/10 CPR EURO,E,BORA VENDER GENÉRICO 3.0,"4,37","31,13","15,59"
001622,BOMBOM FLORMEL CASTANHA/CAJU ZERO 15G,E,,"3,15","4,90","4,90"
001623,BOMBOM FLORMEL CASTANHA/CAJU ZERO 15G CX C/18,E,,"56,75","80,34","80,34"
001671,CERAZETTE 75MG C/28 CPR REVEST(FRACIONADO),B,PROPAGADO ,"27,25","47,61","38,57"
001671,CERAZETTE 75MG C/28 CPR REVEST(FRACIONADO),E,PROPAGADO ,"26,28","47,61","38,57"
001676,CICLOPRIMOGYNA C/21 DRG,E,PROPAGADO ,"8,44","14,18","11,49"
001679,CITONEURIN 1000MCG INJ C/1 AMP I C/1 AMP II,D,PROPAGADO ,"2,60","4,39","3,56"
001679,CITONEURIN 1000MCG INJ C/1 AMP I C/1 AMP II,E,PROPAGADO ,"0,00","4,39","3,56"
001808,BOBINA TS KPR 80X40M ULTRA POPULAR,E,,"4,10","4,50","4,50"
001812,GN ACETILCISTEINA 100MG/ML INJ C/1 AMP 3ML (FRACIONADO) ,A,BORA VENDER GENÉRICO 3.0,"3,32","4,43","4,43"
001812,GN ACETILCISTEINA 100MG/ML INJ C/1 AMP 3ML (FRACIONADO) ,B,BORA VENDER GENÉRICO 3.0,"3,32","4,43","4,43"
001840,FONT D 7.000UI C/12 CPR REVEST,E,SIMILAR PRA VENDER MUITO!,"9,74","33,67","23,57"
001845,DIGESTINA 10MG C/20 CPR,E,SIMILAR PRA VENDER MUITO!,"1,54","26,42","18,50"
001846,DIGESTINA 4MG/ML SOL ORAL 20ML,E,SIMILAR PRA VENDER MUITO!,"6,04","20,46","15,58"
001856,GN DESOGESTREL UNIAO QUIM (FRACIONADO) C/28 CPR,B,BORA VENDER GENÉRICO 3.0,"6,50","27,79","16,12"
001856,GN DESOGESTREL UNIAO QUIM (FRACIONADO) C/28 CPR,E,BORA VENDER GENÉRICO 3.0,"10,52","27,79","16,12"
001863,CRISTALIN SOL OFT 15ML,E,PROPAGADO ,"7,36","12,28","10,65"
001890,DES AERO NIVEA DRY COMFORT 150ML,E,LEVE E PAGUE PERFUMARIA ,"9,89","14,50","12,99"
0019045010288,DES BAN SHOWER FRESH INVISIBLE SOLID 73G,E,,"39,12","54,90","54,90"
0019045108022,DES BAN POWDER FRESH INVISIBLE SOLID 73G,E,,"39,12","54,90","54,90"
0019045108039,DES BAN SWEET SIMPLICITY INVISIBLE SOLID 73G,D,,"39,12","54,90","54,90"
0019045108084,DES BAN ROLLON UNSCENTED 103ML,E,,"49,93","69,90","69,90"
0020800750158,METAMUCIL LARANJA 174G,E,02 - Preço Controlado Plugpharma,"75,16","99,94","99,94"
0020800750165,"METAMUCIL LARANJA C/10 ENV 5,85G ",D,01 - Preço Controlado Plugpharma,"46,35","55,16","55,16"
0020800750165,"METAMUCIL LARANJA C/10 ENV 5,85G ",E,02 - Preço Controlado Plugpharma,"36,10","55,16","55,16"
002083,ELANI 28 C/28 CPR REVEST (FRACIONADO),B,PROPAGADO ,"49,09","75,97","61,54"
002083,ELANI 28 C/28 CPR REVEST (FRACIONADO),D,PROPAGADO ,"51,10","75,97","61,54"
002087,ELANI CICLO C/21 CPR REVEST (FRACIONADO),C,PROPAGADO ,"37,94","56,93","46,12"
002087,ELANI CICLO C/21 CPR REVEST (FRACIONADO),D,PROPAGADO ,"36,84","56,93","46,12"
002399,LACRIMA PLUS SOL OFT 15ML,E,PROPAGADO ,"23,76","32,35","28,51"
002406,LEVEL C/21 CPR (FRACIONADO),B,PROPAGADO ,"19,67","29,39","23,81"
002406,LEVEL C/21 CPR (FRACIONADO),C,PROPAGADO ,"19,79","29,39","23,81"
002473,IUMI C/24 CPR REVEST(FRACIONADO),B,PROPAGADO ,"37,48","60,21","48,78"
002473,IUMI C/24 CPR REVEST(FRACIONADO),D,PROPAGADO ,"36,93","60,21","48,78"
002473,IUMI C/24 CPR REVEST(FRACIONADO),E,PROPAGADO ,"37,31","60,21","48,78"
002590,DEXA-CITONEURIN NFF INJ C/1 AMP I C/1 AMP II,B,PROPAGADO ,"12,26","17,54","14,21"
002590,DEXA-CITONEURIN NFF INJ C/1 AMP I C/1 AMP II,C,PROPAGADO ,"12,44","17,54","14,21"
002619,DIANE 35 C/21 DRG (FRACIONADO),B,PROPAGADO ,"19,48","29,26","23,71"
002619,DIANE 35 C/21 DRG (FRACIONADO),E,PROPAGADO ,"21,08","29,26","23,71"
002628,DICLIN C/21 CPR REVEST (FRACIONADO),B,PROPAGADO ,"14,20","19,69","15,95"
002628,DICLIN C/21 CPR REVEST (FRACIONADO),C,PROPAGADO ,"13,91","19,69","15,95"
002634,DIMINUT C/21 CPR REVEST (FRACIONADO),C,PROPAGADO ,"29,46","42,06","34,07"
002634,DIMINUT C/21 CPR REVEST (FRACIONADO),E,PROPAGADO ,"28,03","42,06","34,07"
002676,DRAMIN B6 50+10MG C/30 CPR,A,PROPAGADO ,"16,88","25,38","20,89"
002676,DRAMIN B6 50+10MG C/30 CPR,B,PROPAGADO ,"17,48","25,38","20,89"
002715,CHA DESINCHA ABACAXI LIMAO SICILIANO C/1 SACHE (FRACIONADO),D,,"1,62","2,45","2,45"
002716,CHA DESINCHA MACA/CANELA C/1 SACHE (FRACIONADO),E,,"1,53","2,18","2,18"
002717,CHA DESINCHA PITAYA/BLUEBERRY C/1 SACHE (FRACIONADO),E,,"1,85","2,80","2,80"
002718,CHA DESINCHA DIA C/1 SACHE (FRACIONADO),E,,"0,94","1,80","1,80"
002722,CHA DESINCHA NOITE C/1 SACHE (FRACIONADO),E,,"0,61","1,00","1,00"
002832,MAGNEN B6 C/70 CPR REVEST ,E,PROPAGADO ,"150,18","216,66","173,96"
002851,"MELOCOX 15MG INJ C/1 AMPOLA 1,5ML",B,PROPAGADO ,"7,59","10,63","8,62"
002851,"MELOCOX 15MG INJ C/1 AMPOLA 1,5ML",E,PROPAGADO ,"5,66","10,63","8,62"
002859,MICROVLAR C/21 DRG(FRACIONADO),E,PROPAGADO ,"5,39","9,71","7,87"
002863,MINILAX LAXANTE C/1 BISNAGA,A,PROPAGADO ,"5,42","7,39","6,00"
002863,MINILAX LAXANTE C/1 BISNAGA,B,PROPAGADO ,"5,41","7,39","6,00"
002878,NACTALI C/28 CPR REVEST(FRACIONADO),D,PROPAGADO ,"26,99","41,20","33,38"
002878,NACTALI C/28 CPR REVEST(FRACIONADO),E,PROPAGADO ,"13,72","41,20","33,38"
002885,NALDECON NOITE C/4 CPR  CX C/25,E,PROPAGADO ,"389,66","544,55","441,09"
002902,NEVRIX IM INJ C/1 AMPOLA (FRACIONADO),B,PROPAGADO ,"5,82","8,65","7,01"
002902,NEVRIX IM INJ C/1 AMPOLA (FRACIONADO),E,PROPAGADO ,"2,75","8,65","7,01"
0030768112585,OLEO DE LINHACA ORGANICA 1000MG C/120 CPS (SUNDOWN),E,,"126,65","189,98","189,98"
0030768186739,OMEGA 3 ODORLESS C/72 CPS (SUNDOWN),E,,"73,13","109,70","109,70"
003097,GN CLORIDRATO DE SERTRALINA 25MG C/30 CPR REVEST EURO,E,BORA VENDER GENÉRICO 3.0,"24,92","72,45","36,23"
003124,PRES PRUDENCE ICE C/3 UNID,E,,"5,37","8,90","8,90"
003136,PRES PRUDENCE ANATOMICO C/3 UNID,E,,"3,22","5,50","5,50"
003138,PRES PRUDENCE SUPER SENSITIVE C/6 UNID,E,,"8,96","14,50","14,50"
003139,PRES PRUDENCE SUPER SENSITIVE C/3 UNID,E,,"5,00","7,50","7,50"
0031655531908,PERF COLONIA NAUTICA VOYAGE 100ML,E,,"132,70","192,90","192,90"
003224,MUNHEQUEIRA MERCUR PRETA C/1 UNID,C,,"12,34","21,90","21,90"
003224,MUNHEQUEIRA MERCUR PRETA C/1 UNID,E,,"11,88","21,90","21,90"
003567,GN ACICLOVIR 200MG C/30 CPR(PRA),E,BORA VENDER GENÉRICO 3.0,"11,47","66,13","33,07"
0037000308935,FIXODENT ORIGINAL 68G C/2 UNID,E,,"119,98","187,90","187,90"
00382903035175,"AGULHA BD 0,60X30MM 23G AZUL",A,,"0,19","0,50","0,50"
0040141623966,DES ROLL ON ROSA SELVAGEM ALGODAO 85ML,E,,"15,56","23,50","23,50"
0040141623973,DES ROLL ON ROSA SELVAGEM ERVA DOCE 85ML,E,,"15,56","23,50","23,50"
0040141751805,SUPL ALIMENTAR KOALA SLEEP BAUNILHA 264G,E,,"87,25","130,90","130,90"
004021,ESM COLORAMA VERM IVETE 8ML ,E,,"3,55","4,90","4,90"
0040232943553,PRIMER DERMACHEM PRE MAQUIAGEM,E,,"6,26","11,90","11,90"
0040232944109,GEL ESFOLIANTE FACIAL DERMACHEM PEDRAS VULCANICAS ,E,,"7,98","13,50","13,50"
0040232944116,AGUA MICELAR DERMACHEM 250ML,E,,"10,37","15,50","15,50"
004075,"CRONOBE 5000MCG INJ C/1 AMPOLA 2,5ML (FRACIONADA)",D,PROPAGADO ,"5,82","22,10","17,91"
004075,"CRONOBE 5000MCG INJ C/1 AMPOLA 2,5ML (FRACIONADA)",E,PROPAGADO ,"10,30","22,10","17,91"
0041333001005,PILHA DURACELL AA PEQUENA C/2 UNID,C,,"9,25","14,99","14,99"
0041333001005,PILHA DURACELL AA PEQUENA C/2 UNID,E,,"8,74","14,99","14,99"
0041333001074,PILHA DURACELL AAA PALITO C/2 UNID,C,,"9,20","16,90","16,90"
0041333001074,PILHA DURACELL AAA PALITO C/2 UNID,E,,"9,22","16,90","16,90"
0041333001098,PILHA DURACELL AAA PALITO C/4 UNID ,C,,"16,89","24,90","24,90"
0041333001098,PILHA DURACELL AAA PALITO C/4 UNID ,E,,"16,89","24,90","24,90"
0041333030180,PILHA DURACELL AUDITIVA 10 C/6 UNID,E,,"21,95","33,99","33,99"
0041333030197,PILHA DURACELL AUDITIVA 13 C/6 UNID,D,,"21,95","32,50","32,50"
0041333030197,PILHA DURACELL AUDITIVA 13 C/6 UNID,E,,"21,95","32,50","32,50"
0041333030203,PILHA DURACELL AUDITIVA 312 C/6 UNID,C,,"21,95","32,50","32,50"
0041333030203,PILHA DURACELL AUDITIVA 312 C/6 UNID,E,,"21,95","32,50","32,50"
0041333030210,PILHA DURACELL AUDITIVA 675 C/6 UNID,E,,"25,73","38,90","38,90"
0041333038865,BATERIA DURACELL 2032 C/1 UNID,C,,"6,28","21,90","21,90"
0041333038865,BATERIA DURACELL 2032 C/1 UNID,D,,"17,62","21,90","21,90"
0041333038896,PILHA DURACELL ALCALINA MN21/A23 C/2 UNID,E,,"18,46","26,50","26,50"
0041333666952,DURA PILHA ALCALINA AAA C/16UN,E,,"52,18","78,27","78,27"
004145,MELHORAL INF C/8 CPR ,E,02 - Preço Controlado Plugpharma,"4,54","10,19","9,24"
004261,LIXA DE UNHA MINI (FRACIONADO),A,,"0,07","0,15","0,15"
004261,LIXA DE UNHA MINI (FRACIONADO),B,,"0,07","0,15","0,15"
004261,LIXA DE UNHA MINI (FRACIONADO),E,,"0,06","0,15","0,15"
004272,PALITO UNHA 2 PONTA MEDIO FRACIONADO,C,,"0,06","0,50","0,50"
004272,PALITO UNHA 2 PONTA MEDIO FRACIONADO,E,,"0,06","0,50","0,50"
004274,PALITO UNHA GRANDE 2 PONTAS (FRACIONADO),E,,"0,48","1,20","1,20"
0043917002255,APARADOR DE PELOS NASAL WAHL TRIMMER,E,,"24,47","36,90","36,90"
004469,"VERSA 40MG INJ C/1 SERINGA 0,4ML",E,PROPAGADO ,"48,72","74,03","59,97"
004470,"VERSA 40MG INJ C/1 SERINGA 0,4ML CX C/2",E,PROPAGADO ,"97,43","148,06","119,93"
004474,ALGODAO APOLO 25G CX C/20,B,,"27,73","65,90","65,90"
004478,ALGODAO APOLO 50G CX C/20,B,,"50,05","87,90","87,90"
004507,CEWIN 500MG C/30 CPR,E,PROPAGADO ,"20,82","31,02","25,13"
004546,"CLEXANE 40MG INJ C/1 SERINGA 0,4ML",E,PROPAGADO ,"50,74","86,09","69,74"
004578,SELENE C/21 CPR (FRACIONADO),A,PROPAGADO ,"17,69","24,50","19,85"
004578,SELENE C/21 CPR (FRACIONADO),C,PROPAGADO ,"17,63","24,50","19,85"
004613,FENAFLAN MENTHOLATUM PATCH C/1 ADESIVO CX C/12,E,,"38,39","54,29","54,29"
004620,ALGODAO APOLO 50GR,E,,"2,60","3,90","3,90"
004676,CR DENTAL COLGATE MAXIMA PRO ANICARIES 90G CX C/12,C,,"45,43","54,90","54,90"
004705,CR DENTAL COLGATE TRIPLA ACAO MENTA 90G     CX C/12,B,,"44,41","74,90","74,90"
0047400179240,CARGA GILLETTE MACH3 C/2 UNID,C,,"16,82","24,99","24,99"
0047400179240,CARGA GILLETTE MACH3 C/2 UNID,D,,"15,22","24,99","24,99"
0047400179240,CARGA GILLETTE MACH3 C/2 UNID,E,,"15,88","24,99","24,99"
004839,SUPRELLE C/28 CPR REVEST(FRACIONADO),E,PROPAGADO ,"30,81","50,71","41,08"
004886,GELELE SLIME TRADICIONAL SORTIDO  CX C/12,E,,"87,88","115,20","115,20"
004894,ADOCANTE ZERO CAL SUCRALOSE C/50 ENV CX C/6,E,,"30,50","51,00","51,00"
004896,ADOCANTE LIQ ZERO CAL SUCRALOSE 100ML CX C/3,D,,"27,63","36,90","36,90"
004907,TAMISA 30 C/21 DRG (FRACIONADO),B,PROPAGADO ,"22,00","30,37","24,60"
004907,TAMISA 30 C/21 DRG (FRACIONADO),D,PROPAGADO ,"21,77","30,37","24,60"
004928,TANTIN C/28 CPR REVEST (FRACIONADO),C,PROPAGADO ,"21,29","29,09","23,57"
004928,TANTIN C/28 CPR REVEST (FRACIONADO),E,PROPAGADO ,"20,70","29,09","23,57"
005000,BATERIA ENERGIZER 2032 CX C/5,E,,"24,92","35,90","35,90"
0050000298723,LEITE NESTLE NAN SOJA 800G,E,LEITE,"70,05","97,67","83,02"
005007,"VERSA 60MG INJ C/1 SERINGA 0,6ML",E,PROPAGADO ,"78,03","124,46","100,82"
005010,PILHA ENERGIZER MEDIA CX C/6,E,,"74,53","111,80","111,80"
005019,ALICATE CUTICULA MUNDIAL FLEX CX C/6,C,,"43,12","69,90","69,90"
005037,GELELE SLIME POTE COLOR SORTIDO CX C/12,E,,"103,83","156,99","156,99"
005040,LENCO PAPEL KLEENEX DE BOLSO C/10 UNID CX C/48,B,,"70,00","97,90","97,90"
005045,LENCO PAPEL KLEENEX CAIXINHA C/50 UNID CX C/50,B,,"148,76","250,90","250,90"
005056,SAB POM POM GLICERINADO 80G  CX C/12,B,,"29,57","52,90","52,90"
005059,SAB POM POM HIDRATANTE 80G  CX C/12,B,,"27,60","47,90","47,90"
005068,CORTADOR DE UNHA TRIM REF 12500 CX C/12,C,,"62,40","84,90","84,90"
005073,CORTADOR DE UNHA TRIM REF 00343 CX C/6,E,,"51,13","76,90","76,90"
005078,PINCA TRIM PONTA REF 00345 CX C/6,C,,"34,86","49,90","49,90"
005081,PINCA TRIM PONTA QUADRADA REF 53100 CX C/6,D,,"36,21","50,90","50,90"
005106,FR HUGGIES RECEM NASCIDO C/18 UNID CX C/9,E,,"195,48","293,90","293,90"
005161,NORDETTE C/21 DRG (FRACIONADO),C,PROPAGADO ,"8,36","12,32","9,98"
005225,PINCA ENOX DEPILATORIA,B,,"0,60","1,50","1,50"
005225,PINCA ENOX DEPILATORIA,D,,"0,60","1,50","1,50"
005225,PINCA ENOX DEPILATORIA,E,,"0,00","1,50","1,50"
005291,PERIVASC 450+50MG C/30 CPR REVST,E,PROPAGADO ,"40,97","73,04","59,17"
