Cód. Barras/Etiq.,Embalagem,Curva ABC Qtd.,Caderno de Ofertas,Custo Médio Unit.,Preço Venda Unit.,Preço Oferta
0000042428831,CR MAOS NIVEA LUMINOUS FPS15 50G,E,,"24,89","44,90","89,80"
0000075062835,DES DOVE ORIGINAL STICK 45G,D,,"17,46","24,50","98,00"
0000075062835,DES DOVE ORIGINAL STICK 45G,E,,"15,52","24,50","49,00"
0000075076696,DES DOVE MEN CARE STICK PROTECCION TOTAL 72H 45G,D,,"14,71","25,50","25,50"
0000075076696,DES DOVE MEN CARE STICK PROTECCION TOTAL 72H 45G,E,,"16,48","25,50","76,50"
0000075076818,DES CR REXONA FEM CLINICAL 3X CLASSIC 48G,C,,"16,72","23,90","23,90"
0000078905108,MINANCORA POM 30G,B,PROPAGADO ,"14,24","18,25","221,48"
0000078915640,ESPARADRAPO NEXCARE IMPER BRANCO 25MMX90CM,D,,"3,05","5,95","41,65"
000312,TAMISA 20 C/21 CPR (FRACIONADO),B,PROPAGADO ,"22,08","30,37","836,40"
000314,TAMISA 30 SEM PARAR C/28 DRG (FRACIONADO),B,PROPAGADO ,"29,50","40,49","393,60"
000314,TAMISA 30 SEM PARAR C/28 DRG (FRACIONADO),D,PROPAGADO ,"29,02","40,49","229,60"
000348,"GN ACETATO CIPRO+ETINIL 2MG/0,035MG C/21 CPR FRACIONADO",B,ANTICONCEPCIONAIS ,"5,90","17,72","203,56"
000348,"GN ACETATO CIPRO+ETINIL 2MG/0,035MG C/21 CPR FRACIONADO",C,ANTICONCEPCIONAIS ,"5,90","17,72","72,70"
00070847022015,ENERGETICO MONSTER ENERGY LATA 473ML,B,,"7,72","11,50","241,50"
00070847022206,ENERGETICO MONSTER ENERGY ULTRA 473ML,B,,"7,69","11,50","46,00"
00070847022206,ENERGETICO MONSTER ENERGY ULTRA 473ML,C,,"7,69","11,50","103,50"
00070847022305,ENERGETICO MONSTER ENERGY ABSOLUTELY ZERO LATA 473ML,E,,"7,69","9,90","49,50"
00070847033929,ENERGETICO MONSTER ENERGY ULTRA VIOLET LATA 473ML,C,,"7,69","11,50","92,00"
001026,ALLEGRA 6MG/ML SOL ORAL C/COPINHO 150ML,E,PROPAGADO ,"57,83","90,42","158,02"
001088,APRACUR C/6 CPR REVEST,B,01 - Preço Controlado Plugpharma,"8,85","12,19","475,15"
001088,APRACUR C/6 CPR REVEST,B,02 - Preço Controlado Plugpharma,"8,42","12,19","154,70"
001088,APRACUR C/6 CPR REVEST,B,03 - Preço Controlado Plugpharma,"8,42","12,19","342,55"
0011509031327,GEL BARBA GRECIN 5 E BIGODE CASTANHO ESCURO,E,,"47,34","66,90","66,90"
0011509031334,GEL BARBA GRECIN 5 E BIGODE PRETO,E,,"45,31","63,90","63,90"
001327,"GN MELOXICAM 15MG/1,5ML INJ C/1 AMP EURO",C,,"4,74","9,91","19,82"
001327,"GN MELOXICAM 15MG/1,5ML INJ C/1 AMP EURO",D,,"4,75","9,91","19,82"
001671,CERAZETTE 75MG C/28 CPR REVEST(FRACIONADO),B,PROPAGADO ,"27,17","47,61","1.697,08"
001671,CERAZETTE 75MG C/28 CPR REVEST(FRACIONADO),E,PROPAGADO ,"26,28","47,61","115,71"
001812,GN ACETILCISTEINA 100MG/ML INJ C/1 AMP 3ML (FRACIONADO) ,A,BORA VENDER GENÉRICO 3.0,"3,32","4,43","203,78"
001812,GN ACETILCISTEINA 100MG/ML INJ C/1 AMP 3ML (FRACIONADO) ,B,BORA VENDER GENÉRICO 3.0,"3,32","4,43","429,71"
001856,GN DESOGESTREL UNIAO QUIM (FRACIONADO) C/28 CPR,B,BORA VENDER GENÉRICO 3.0,"6,50","27,79","48,36"
001856,GN DESOGESTREL UNIAO QUIM (FRACIONADO) C/28 CPR,E,BORA VENDER GENÉRICO 3.0,"10,52","27,79","128,96"
0019045108039,DES BAN SWEET SIMPLICITY INVISIBLE SOLID 73G,D,,"39,12","54,90","54,90"
0019045108084,DES BAN ROLLON UNSCENTED 103ML,E,,"49,93","69,90","209,70"
0020800750165,"METAMUCIL LARANJA C/10 ENV 5,85G ",D,01 - Preço Controlado Plugpharma,"46,35","55,16","110,32"
0020800750165,"METAMUCIL LARANJA C/10 ENV 5,85G ",E,02 - Preço Controlado Plugpharma,"36,10","55,16","55,16"
002083,ELANI 28 C/28 CPR REVEST (FRACIONADO),B,PROPAGADO ,"47,75","75,97","246,16"
002083,ELANI 28 C/28 CPR REVEST (FRACIONADO),D,PROPAGADO ,"47,75","75,97","184,62"
002087,ELANI CICLO C/21 CPR REVEST (FRACIONADO),C,PROPAGADO ,"37,94","56,93","322,84"
002087,ELANI CICLO C/21 CPR REVEST (FRACIONADO),D,PROPAGADO ,"36,84","56,93","92,24"
002399,LACRIMA PLUS SOL OFT 15ML,E,PROPAGADO ,"22,78","32,35","199,57"
002406,LEVEL C/21 CPR (FRACIONADO),B,PROPAGADO ,"19,67","29,39","190,48"
002406,LEVEL C/21 CPR (FRACIONADO),C,PROPAGADO ,"19,35","29,39","142,86"
002473,IUMI C/24 CPR REVEST(FRACIONADO),B,PROPAGADO ,"36,73","60,21","341,46"
002473,IUMI C/24 CPR REVEST(FRACIONADO),C,PROPAGADO ,"36,93","60,21","292,68"
002473,IUMI C/24 CPR REVEST(FRACIONADO),E,PROPAGADO ,"37,31","60,21","97,56"
002590,DEXA-CITONEURIN NFF INJ C/1 AMP I C/1 AMP II,B,PROPAGADO ,"11,95","17,54","156,31"
002590,DEXA-CITONEURIN NFF INJ C/1 AMP I C/1 AMP II,C,PROPAGADO ,"12,44","17,54","113,68"
002619,DIANE 35 C/21 DRG (FRACIONADO),B,PROPAGADO ,"19,48","29,26","497,91"
002619,DIANE 35 C/21 DRG (FRACIONADO),E,PROPAGADO ,"21,08","29,26","142,26"
002628,DICLIN C/21 CPR REVEST (FRACIONADO),B,PROPAGADO ,"14,20","19,69","414,70"
002628,DICLIN C/21 CPR REVEST (FRACIONADO),C,PROPAGADO ,"13,91","19,69","111,65"
002634,DIMINUT C/21 CPR REVEST (FRACIONADO),D,PROPAGADO ,"28,03","42,06","34,07"
002634,DIMINUT C/21 CPR REVEST (FRACIONADO),E,PROPAGADO ,"28,03","42,06","204,42"
002715,CHA DESINCHA ABACAXI LIMAO SICILIANO C/1 SACHE (FRACIONADO),D,,"1,62","2,45","2,45"
002718,CHA DESINCHA DIA C/1 SACHE (FRACIONADO),E,,"0,94","1,80","10,80"
002851,"MELOCOX 15MG INJ C/1 AMPOLA 1,5ML",B,PROPAGADO ,"7,59","10,63","34,48"
002851,"MELOCOX 15MG INJ C/1 AMPOLA 1,5ML",E,PROPAGADO ,"7,90","10,63","17,24"
002863,MINILAX LAXANTE C/1 BISNAGA,A,PROPAGADO ,"5,42","7,39","468,00"
002863,MINILAX LAXANTE C/1 BISNAGA,B,PROPAGADO ,"5,41","7,39","36,00"
002878,NACTALI C/28 CPR REVEST(FRACIONADO),D,PROPAGADO ,"26,99","41,20","166,90"
002878,NACTALI C/28 CPR REVEST(FRACIONADO),E,PROPAGADO ,"27,45","41,20","233,66"
002902,NEVRIX IM INJ C/1 AMPOLA (FRACIONADO),B,PROPAGADO ,"5,82","8,65","28,04"
002902,NEVRIX IM INJ C/1 AMPOLA (FRACIONADO),E,PROPAGADO ,"5,50","8,65","7,01"
0031655531908,PERF COLONIA NAUTICA VOYAGE 100ML,E,,"132,70","192,90","771,60"
003224,MUNHEQUEIRA MERCUR PRETA C/1 UNID,C,,"12,34","21,90","21,90"
003224,MUNHEQUEIRA MERCUR PRETA C/1 UNID,E,,"11,88","21,90","87,60"
0037000308935,FIXODENT ORIGINAL 68G C/2 UNID,E,,"114,59","187,90","187,90"
00382903035175,"AGULHA BD 0,60X30MM 23G AZUL",A,,"0,19","0,50","985,00"
0040141623966,DES ROLL ON ROSA SELVAGEM ALGODAO 85ML,E,,"15,56","23,50","47,00"
0040141623973,DES ROLL ON ROSA SELVAGEM ERVA DOCE 85ML,E,,"15,56","23,50","70,50"
0040141751805,SUPL ALIMENTAR KOALA SLEEP BAUNILHA 264G,E,,"87,25","130,90","261,80"
004075,"CRONOBE 5000MCG INJ C/1 AMPOLA 2,5ML (FRACIONADA)",E,PROPAGADO ,"8,80","22,10","143,28"
0041333001005,PILHA DURACELL AA PEQUENA C/2 UNID,C,,"9,25","14,99","44,97"
0041333001005,PILHA DURACELL AA PEQUENA C/2 UNID,D,,"8,28","14,99","89,94"
0041333001074,PILHA DURACELL AAA PALITO C/2 UNID,C,,"9,20","16,90","33,80"
0041333001074,PILHA DURACELL AAA PALITO C/2 UNID,E,,"9,22","16,90","270,40"
0041333001098,PILHA DURACELL AAA PALITO C/4 UNID ,E,,"16,89","24,90","323,70"
0041333030180,PILHA DURACELL AUDITIVA 10 C/6 UNID,E,,"21,95","33,99","203,94"
0041333030197,PILHA DURACELL AUDITIVA 13 C/6 UNID,E,,"21,95","32,50","32,50"
0041333030210,PILHA DURACELL AUDITIVA 675 C/6 UNID,E,,"25,73","38,90","311,20"
0041333038865,BATERIA DURACELL 2032 C/1 UNID,C,,"6,28","21,90","43,80"
0041333038865,BATERIA DURACELL 2032 C/1 UNID,D,,"6,28","21,90","175,20"
0041333038896,PILHA DURACELL ALCALINA MN21/A23 C/2 UNID,E,,"18,46","26,50","53,00"
004261,LIXA DE UNHA MINI (FRACIONADO),A,,"0,07","0,15","179,25"
004261,LIXA DE UNHA MINI (FRACIONADO),B,,"0,07","0,15","0,30"
004261,LIXA DE UNHA MINI (FRACIONADO),E,,"0,06","0,15","7,05"
004272,PALITO UNHA 2 PONTA MEDIO FRACIONADO,C,,"0,06","0,50","11,50"
004272,PALITO UNHA 2 PONTA MEDIO FRACIONADO,E,,"0,12","0,50","-19,00"
004274,PALITO UNHA GRANDE 2 PONTAS (FRACIONADO),E,,"0,48","1,20","9,60"
004578,SELENE C/21 CPR (FRACIONADO),A,PROPAGADO ,"17,69","24,50","873,40"
004578,SELENE C/21 CPR (FRACIONADO),C,PROPAGADO ,"17,63","24,50","79,40"
0047400179240,CARGA GILLETTE MACH3 C/2 UNID,C,,"16,82","24,99","99,96"
0047400179240,CARGA GILLETTE MACH3 C/2 UNID,E,,"15,55","24,99","224,91"
004907,TAMISA 30 C/21 DRG (FRACIONADO),B,PROPAGADO ,"22,02","30,37","442,80"
004907,TAMISA 30 C/21 DRG (FRACIONADO),D,PROPAGADO ,"21,77","30,37","49,20"
004928,TANTIN C/28 CPR REVEST (FRACIONADO),D,PROPAGADO ,"21,29","29,09","141,42"
005161,NORDETTE C/21 DRG (FRACIONADO),C,PROPAGADO ,"8,15","12,32","249,50"
005225,PINCA ENOX DEPILATORIA,B,,"0,60","1,50","52,50"
005225,PINCA ENOX DEPILATORIA,C,,"0,60","1,50","58,50"
005325,PRIMERA 20 C/21 CPR (FRACIONADO),B,PROPAGADO ,"21,99","30,38","221,49"
005325,PRIMERA 20 C/21 CPR (FRACIONADO),C,PROPAGADO ,"21,96","30,38","49,22"
005325,PRIMERA 20 C/21 CPR (FRACIONADO),E,PROPAGADO ,"21,22","30,38","123,05"
005329,PROFENID 100MG INJ C/1 AMP 2ML (FRACIONADO),B,PROPAGADO ,"4,76","6,65","350,35"
005329,PROFENID 100MG INJ C/1 AMP 2ML (FRACIONADO),C,PROPAGADO ,"4,76","6,65","37,73"
005508,GN LEVOTIROXINA SODICA 150MCG C/30CPR MERCK,E,BORA VENDER GENÉRICO 3.0,"8,37","15,48","52,64"
005782,DECONGEX PLUS C/4 CPR,B,02 - Preço Controlado Plugpharma,"6,87","10,08","1.366,29"
005782,DECONGEX PLUS C/4 CPR,C,01 - Preço Controlado Plugpharma,"6,81","10,08","397,29"
005816,AGULHA P/CANETA BD ULTRA-FINE INSULINA 5MM 31G ROXA,B,,"0,00","1,90","266,00"
006295,GINESSE C/21 CPR REVEST(FRACIONADO),B,PROPAGADO ,"20,70","29,00","93,96"
006295,GINESSE C/21 CPR REVEST(FRACIONADO),E,PROPAGADO ,"20,09","29,00","140,94"
006298,IUMI ES C/30 CPR REVEST(FRACIONADO),D,PROPAGADO ,"106,04","55,53","134,94"
006306,MINIAN C/21 CPR(FRACIONADO),D,PROPAGADO ,"24,39","36,60","59,30"
007013,AGULHA P/CANETA BD ULTRA-FINE INSULINA 4MM 32G VERDE,B,,"0,00","1,50","120,00"
0070341071854,GOTA LISA SPA DOS PES UREIA 10% 30ML,C,,"3,49","8,90","115,70"
